Run Date,Account,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 07/22/2019,UNINCORPORATED ASSN Z40056926, YOU SOLD ISHARES MORNINGSTAR LARGE-CAP ETF (JKD) (Cash), JKD, ISHARES MORNINGSTAR LARGE-CAP ETF,Cash,-1,166.74,,0.01,,166.73,07/24/2019
 07/12/2019,UNINCORPORATED ASSN Z40056926, YOU BOUGHT FIDELITY MSCI REAL ESTATE INDEX ETF (FREL) (Cash), FREL, FIDELITY MSCI REAL ESTATE INDEX ETF,Cash,3,26.73,,,,-80.2,07/16/2019
 07/12/2019,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES GOLD TRUST ISHARES ISIN #US4642 (IAU) (Cash), IAU, ISHARES GOLD TRUST ISHARES ISIN #US4642,Cash,10,13.52,,,,-135.25,07/16/2019
 07/12/2019,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES TR COHEN STEER REIT (ICF) (Cash), ICF, ISHARES TR COHEN STEER REIT,Cash,1,115.65,,,,-115.65,07/16/2019
 07/12/2019,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES TR CRE U S REIT ETF (USRT) (Cash), USRT, ISHARES TR CRE U S REIT ETF,Cash,1,53.21,,,,-53.21,07/16/2019
 07/10/2019,UNINCORPORATED ASSN Z40056926, YOU BOUGHT INVESCO EXCH TRD SLF IDX FD TR ESG REV (46138J627) (Cash), 46138J627, INVESCO EXCH TRD SLF IDX FD TR ESG REV ,Cash,1,31.81,,,,-31.81,07/12/2019
 07/10/2019,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES TR ESG MSCI USA ETF (ESGU) (Cash), ESGU, ISHARES TR ESG MSCI USA ETF,Cash,1,65.68,,,,-65.68,07/12/2019
 07/10/2019,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES TRUST CURRENCY HEDGED MSCI ACWI (HAWX) (Cash), HAWX, ISHARES TRUST CURRENCY HEDGED MSCI ACWI,Cash,4,26.84,,,,-107.38,07/12/2019
 07/10/2019,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES TRUST CURRENCY HEDGED MSCI EAFE (HEFA) (Cash), HEFA, ISHARES TRUST CURRENCY HEDGED MSCI EAFE,Cash,4,29.52,,,,-118.07,07/12/2019
 07/10/2019,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES S&P MIDCAP 400 VALUE ETF (IJJ) (Cash), IJJ, ISHARES S&P MIDCAP 400 VALUE ETF,Cash,1,159.16,,,,-159.16,07/12/2019
 07/10/2019,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES CORE S&P SMALL-CAP E (IJR) (Cash), IJR, ISHARES CORE S&P SMALL-CAP E,Cash,1,78.09,,,,-78.09,07/12/2019
 07/01/2019,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES TRUST ISHARES CORE HIGH DIVIDEN (HDV) (Cash), HDV, ISHARES TRUST ISHARES CORE HIGH DIVIDEND,Cash,1,94.77,,,,-94.77,07/03/2019
 07/01/2019,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES U S ETF TR TECHNOLOGY (IETC) (Cash), IETC, ISHARES U S ETF TR TECHNOLOGY,Cash,1,29.32,,,,-29.32,07/03/2019
 07/01/2019,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES MORNINGSTAR LARGE-CAP ETF (JKD) (Cash), JKD, ISHARES MORNINGSTAR LARGE-CAP ETF,Cash,2,166.04,,,,-332.08,07/03/2019
 07/01/2019,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES SILVER TR ISHARES (SLV) (Cash), SLV, ISHARES SILVER TR ISHARES,Cash,10,14.18,,,,-141.77,07/03/2019
