Run Date,Account,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 06/10/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT STARWOOD PPTY TR INC COM (STWD) (Cash), STWD, STARWOOD PPTY TR INC COM,Cash,3,15.22,,,,-45.65,6/12/20
 06/09/2020,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED EURONAV NPV (EURN) (Cash), EURN, EURONAV NPV,Cash,,,,,,0.29,
 06/09/2020,UNINCORPORATED ASSN Z40056926, FOREIGN TAX PAID EURONAV NPV (EURN) (Cash), EURN, EURONAV NPV,Cash,,,,,,-0.09,
 06/08/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES GOLD TRUST ISHARES ISIN #US4642 (IAU) (Cash), IAU, ISHARES GOLD TRUST ISHARES ISIN #US4642,Cash,2,16.23,,,,-32.46,6/10/20
 06/08/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES SILVER TR ISHARES (SLV) (Cash), SLV, ISHARES SILVER TR ISHARES,Cash,3,16.54,,,,-49.63,6/10/20
 06/08/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT TORONTO DOMINION BANK ONT COM NPV ISIN (TD) (Cash), TD, TORONTO DOMINION BANK ONT COM NPV ISIN ,Cash,2,49.1,,,,-98.2,6/10/20
 06/05/2020,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED ISHARES CORE U.S. AGGREGATE BOND ETF (AGG) (Cash), AGG, ISHARES CORE U.S. AGGREGATE BOND ETF,Cash,,,,,,0.43,
 06/04/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT EURONAV NPV (EURN) (Cash), EURN, EURONAV NPV,Cash,4,9.86,,,,-39.42,6/8/20
 06/04/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT NESTLE S A SPONSORED ADR (NSRGY) (Cash), NSRGY, NESTLE S A SPONSORED ADR,Cash,1,107.47,,,,-107.47,6/8/20
 06/04/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES SILVER TR ISHARES (SLV) (Cash), SLV, ISHARES SILVER TR ISHARES,Cash,5,16.58,,,,-82.88,6/8/20
 06/04/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES TR GL TIMB FORE ETF (WOOD) (Cash), WOOD, ISHARES TR GL TIMB FORE ETF,Cash,0.5,57.4,,,,-28.7,6/8/20
 06/04/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES TR GL TIMB FORE ETF (WOOD) (Cash), WOOD, ISHARES TR GL TIMB FORE ETF,Cash,2,57.29,,,,-114.58,6/8/20
 06/03/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES GOLD TRUST ISHARES ISIN #US4642 (IAU) (Cash), IAU, ISHARES GOLD TRUST ISHARES ISIN #US4642,Cash,5,16.22,,,,-81.1,6/5/20
 06/03/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ELI LILLY AND CO COM (LLY) (Cash), LLY, ELI LILLY AND CO COM,Cash,1,152.19,,,,-152.19,6/5/20
 06/02/2020,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED AMERICAN WATER WORKS COMPANY INC COM US (AWK) (Cash), AWK, AMERICAN WATER WORKS COMPANY INC COM US,Cash,,,,,,0.28,
 06/01/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT HILTON WORLDWIDE HLDGS INC (HLT) (Cash), HLT, HILTON WORLDWIDE HLDGS INC,Cash,0.5,82.13,,,,-41.07,6/3/20
 06/01/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT HILTON WORLDWIDE HLDGS INC (HLT) (Cash), HLT, HILTON WORLDWIDE HLDGS INC,Cash,1,82.15,,,,-82.15,6/3/20
 06/01/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES TRUST ISHARES MSCI INDIA ETF US (INDA) (Cash), INDA, ISHARES TRUST ISHARES MSCI INDIA ETF USD,Cash,5,28.11,,,,-140.55,6/3/20
 05/29/2020,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,,,,,,0.02,
 05/29/2020,UNINCORPORATED ASSN Z40056926, REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,0.02,1,,,,-0.02,
 05/27/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT BROOKFIELD INFRASTRUCTURE PARTN L.P (BIP) (Cash), BIP, BROOKFIELD INFRASTRUCTURE PARTN L.P,Cash,4,40.92,,,,-163.66,5/29/20
 05/27/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT INFOSYS LTD SPON ADR EACH REP 1 ORD SHS (INFY) (Cash), INFY, INFOSYS LTD SPON ADR EACH REP 1 ORD SHS,Cash,15,9.29,,,,-139.31,5/29/20
 05/26/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT VALE S.A. SPONS ADS REPR 1 COM NPV (VALE) (Cash), VALE, VALE S.A. SPONS ADS REPR 1 COM NPV,Cash,15,9.14,,,,-137.09,5/28/20
 05/18/2020,UNINCORPORATED ASSN Z40056926, CHECK RECEIVED (Cash), , No Description,Cash,,,,,,1500,
 05/18/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES CORE U.S. AGGREGATE BOND ETF (AGG) (Cash), AGG, ISHARES CORE U.S. AGGREGATE BOND ETF,Cash,2,116.83,,,,-233.66,5/20/20
 05/18/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT DOLLAR GEN CORP NEW COM (DG) (Cash), DG, DOLLAR GEN CORP NEW COM,Cash,2,182.41,,,,-364.82,5/20/20
 05/18/2020,UNINCORPORATED ASSN Z40056926, YOU SOLD DIGITAL RLTY TR INC COM (DLR) (Cash), DLR, DIGITAL RLTY TR INC COM,Cash,-1,131.39,,0.01,,131.38,5/20/20
 05/11/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT SELECT SECTOR SPDR TRUST TECHNOLOGY SEL (XLK) (Cash), XLK, SELECT SECTOR SPDR TRUST TECHNOLOGY SEL,Cash,2,95.64,,,,-191.29,5/13/20
 05/05/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT EURONAV NPV (EURN) (Cash), EURN, EURONAV NPV,Cash,1,10.01,,,,-10.01,5/7/20
 04/30/2020,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,,,,,,0.03,
 04/30/2020,UNINCORPORATED ASSN Z40056926, REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,0.03,1,,,,-0.03,
 04/28/2020,UNINCORPORATED ASSN Z40056926, YOU SOLD AMERICAN WATER WORKS COMPANY INC COM US (AWK) (Cash), AWK, AMERICAN WATER WORKS COMPANY INC COM US,Cash,-0.5,126.47,,0.01,,63.23,4/30/20
 04/28/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT NEXTERA ENERGY INC COM USD0.01 (NEE) (Cash), NEE, NEXTERA ENERGY INC COM USD0.01,Cash,0.5,241.01,,,,-120.51,4/30/20
 04/08/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT SALESFORCE.COM INC COM USD0.001 (CRM) (Cash), CRM, SALESFORCE.COM INC COM USD0.001,Cash,0.499,150.28,,,,-74.99,4/13/20
 04/08/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT DIGITAL RLTY TR INC COM (DLR) (Cash), DLR, DIGITAL RLTY TR INC COM,Cash,1,143.26,,,,-143.26,4/13/20
